1,H,Hydrogen,s
2,He,Helium,s
3,Li,Lithium,s
4,Be,Berylium,s
5,B,Boron,p
6,C,Carbon,p
7,N,Nitrogen,p
8,O,Oxygen,p
9,F,Flourine,p
10,Ne,Neon,p
11,Na,Sodium,s
12,Mg,Magnesium,s
13,Al,Aluminum,p
14,Si,Silicon,p
15,P,Phosphorus,p
16,S,Sulphur,p
17,Cl,Cloride,p
18,Ar,Argon,p
19,K,Potassium,s
20,Ca,Calcium,s
21,Sc,Scandium,d
22,Ti,Titanium,d
23,V,Vanadium,d
24,Cr,Chromium,d
25,Mn,Manganese,d
26,Fe,Iron,d
27,Co,Cobalt,d
28,Ni,Nickel,d
29,Cu,Copper,d
30,Zn,Zinc,d
31,Ga,Gallium,p
32,Ge,Germanium,p
33,As,Arsenic,p
34,Se,Selenium,p
35,Br,Bromine,p
36,Kr,Krypton,p
37,Rb,Rubidium,s
38,Sr,Strontium,s
39,Y,Yttrium,d
40,Zr,Zirconium,d
41,Nb,Niobium,d
42,Mo,Molybdenum,d
43,Tc,Technetium,d
44,Ru,Ruthenium,d
45,Rh,Rhodium,d
46,Pd,Palladium,d
47,Ag,Silver,d
48,Cd,Cadmium,d
49,In,Indium,p
50,Sn,Tin,p
51,Sb,Antimony,p
52,Te,Tellurium,p
53,I,Iodine,p
54,Xe,Xenon,p
55,Cs,Caesium,s
56,Ba,Barium,s
57,La,Lanthalium,f
58,Ce,Cerium,f
59,Pr,Praseodymium,f
60,Nd,Neodymium,f
61,Pm,Promethium,f
62,Sm,Samarium,f
63,Eu,Europium,f
64,Gd,Gadolinium,f
65,Tb,Terbium,f
66,Dy,Dysprosium,f
67,Ho,Holmium,f
68,Er,Erbium,f
69,Tm,Thulium,f
70,Yn,Ytterbium,f
71,Lu,Lutetium,d
72,Hf,Hafnium,d
73,Ta,Tantalium,d
74,W,Tungsten,d
75,Re,Rhenium,d
76,Os,Osmium,d
77,Ir,Iridium,d
78,Pt,Platinum,d
79,Au,Gold,d
80,Hg,Mercury,d
81,Ti,Thallium,p
82,Pb,Lead,p
83,Bi,Bismuth,p
84,Po,Polonium,p
85,At,Astatine,p
86,Rn,Radon,p
87,Fr,Francium,s
88,Ra,Radium,s
89,Ac,Actinium,f
90,Th,Thorium,f
91,Pa,Protactinium,f
92,U,Uranium,f
93,Np,Neptunium,f
94,Pu,Plutonium,f
95,Am,Americium,f
96,Cm,Curium,f
97,Bk,Berkelium,f
98,Cf,Californium,f
99,Es,Einsteinium,f
100,Fm,Fermium,f
101,Md,Mendelevium,f
102,No,Nobelium,f
103,Lr,Lawrencium,d
104,Rf,Rutherfordium,d
105,Db,Dubnium,d
106,Sg,Seaborgium,d
107,Bh,Bohrium,d
108,Hs,Hasnium,d
109,Mt,Meitnerium,d
110,Ds,Darmstadium,d
111,Rg,Roentgenium,d
112,Cn,Coperniciam,d
113,Nh,Nihonium,p
114,Fl,Flerovium,p
115,Mc,Moscovium,p
116,Lv,Livermorium,p
117,Ts,Tennessine,p
118,Og,Oganessom,p
